file_x,file_y,decision,dist_l2,y,y_pred
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10584775/9229302,3935231118_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10584775/558699556,8979907_align.jpg",Yes,1.1804,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10510170/1617757298,1616145660_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10510170/9f1011b33afadfebd8335a0f.jpg_align.jpg",Yes,1.141,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/1867880613,1780226173_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/3480525383,4108588016_align.jpg",Yes,1.2963,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10559275/34fae6cd7b899e51f782e2dd42a7d933c9950def.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10559275/c8ea15ce36d3d539db7ed70a3a87e950342ab0bc.jpg_align.jpg",Yes,1.2926,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276274/3703223392,1382354693_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276274/3760257044,1113212072_align.jpg",Yes,0.7852,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10533494/720008916,3507243215_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10533494/225323480,288400645_align.jpg",Yes,1.2461,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10438974/d01373f082025aafc729c767faedab64034f1a06.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10438974/2e2eb9389b504fc22cf00ea9e4dde71191ef6deb.jpg_align.jpg",Yes,0.6715,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10129087/2065369985,4017543581_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10129087/1037303279,1765714506_align.jpg",Yes,1.2395,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/4066118906,2126467659_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/3493731179,3032236813_align.jpg",Yes,0.8869,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/2735069141,848740830_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/3882116326,1383253307_align.jpg",Yes,1.2708,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/4066118906,2126467659_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10459242/4065787710,3001509022_align.jpg",Yes,0.919,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10299269/2353303439,862219843_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10299269/2727861357,381812236_align.jpg",Yes,0.4347,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10443361/1664291053,1373686962_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10443361/2227203243,501479842_align.jpg",Yes,1.0837,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10334920/1155369242,1347025484_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10334920/1533401470,1392549980_align.jpg",Yes,1.1785,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10540910/2100739180,213238294_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10540910/506786298,3219699790_align.jpg",Yes,1.2426,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10228983/d6ca7bcb0a46f21f3906d6b9f6246b600c33ae2e.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10228983/2f738bd4b31c8701f6653b0c277f9e2f0608ff0d.jpg_align.jpg",Yes,0.9312,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/2290408829,3775685197_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/1416164342,2279307212_align.jpg",Yes,1.4461,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/2375900122,2972868727_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/2057009692,3169472023_align.jpg",Yes,0.9382,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/2072575727,385070307_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/3407943626,574220570_align.jpg",Yes,1.2928,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10397356/faedab64034f78f03ca584bb79310a55b2191ccf.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10397356/91529822720e0cf310fc024c0a46f21fbe09aa7a.jpg_align.jpg",Yes,0.8725,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/e824b899a9014c08f06060e7097b02087bf4f41d.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/2257599449,2097424061_align.jpg",Yes,1.0552,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10553492/1391470328,816201520_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10553492/386364633,1901309757_align.jpg",Yes,1.4221,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10609267/0fb505d5f67bbb8851da4bc6.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10609267/1026601013,3617692561_align.jpg",Yes,0.836,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/407622293,2295755325_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/2770949998,4115420054_align.jpg",Yes,1.367,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10553492/1029435288,4074855262_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10553492/1282268383,3168151764_align.jpg",Yes,1.2356,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10559275/ac4bd11373f08202587949f64bfbfbedaa641b0b.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10559275/8d5494eef01f3a2987070c079925bc315d607c28.jpg_align.jpg",Yes,1.2703,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/2308856683,3336852888_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/186252462,3981252657_align.jpg",Yes,0.5771,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10265277/2070601390,4229535428_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10265277/1674582740,1713437081_align.jpg",Yes,0.5156,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393532/51751355,3802912712_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393532/1084697611,798937793_align.jpg",Yes,0.9944,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366100/2168313716,3685931837_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366100/1459188863,2187281566_align.jpg",Yes,0.8804,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/4121159163,3663838600_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/1125006382,439160657_align.jpg",Yes,0.972,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366100/3715941047,4059576543_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10366100/1156442065,2627896351_align.jpg",Yes,0.9151,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/580598201,2475737035_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/2856281423,2236366754_align.jpg",Yes,1.3503,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/2780096213,1196215464_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/4226561101,1958894217_align.jpg",Yes,1.3743,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10265277/2289843207,509520089_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10265277/1233403980,2967940932_align.jpg",Yes,1.2424,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276274/3760257044,1113212072_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276274/675845456,2349238509_align.jpg",Yes,0.699,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/524006427,214885748_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/1528892262,4217655491_align.jpg",Yes,1.3396,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10177044/2401678673,183169189_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10177044/2183335824,2370497592_align.jpg",Yes,1.1077,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/269548068,418824825_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10606787/1226734921,2512284309_align.jpg",Yes,0.6457,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/217391002,77431571_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10169810/2382685596,2694897591_align.jpg",Yes,1.3442,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10536652/3352390074,262262333_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10536652/3133527522,1758165429_align.jpg",Yes,0.8049,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10464205/1797577149,3572177467_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10464205/1745090082,3416606559_align.jpg",Yes,0.9369,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/1591550672,1697836457_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/1044175710,3080019814_align.jpg",Yes,0.7774,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10584775/3362153199,2017904967_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10584775/3509015651,3284344298_align.jpg",Yes,1.0517,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365473/1626545417,3288581262_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365473/2902352639,3368689374_align.jpg",Yes,0.7127,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393156/91147793,321323488_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393156/3641163438,973487528_align.jpg",Yes,0.9539,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10177044/807785312,3224414118_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10177044/2563966233,3810137903_align.jpg",Yes,1.2001,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/1910906075,3254323716_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/1543403287,2358889606_align.jpg",Yes,1.3404,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10609267/0fb505d5f67bbb8851da4bc6.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10609267/1259416067,1160313128_align.jpg",Yes,1.2277,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10231614/3721095965,1053820766_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10231614/3691131372,2223600149_align.jpg",Yes,0.6717,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/2201079613,3268965455_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/3481383918,781365304_align.jpg",Yes,1.0536,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10263371/3324574917,1033966726_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10263371/3821075024,1842711274_align.jpg",Yes,0.7796,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393156/2305473192,3657010385_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393156/3747846279,2201753586_align.jpg",Yes,1.3389,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393156/1792234713,1262769484_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393156/1729267215,4222549529_align.jpg",Yes,0.6424,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/2176444364,2657106028_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/1932020330,3496693335_align.jpg",Yes,1.1976,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10553492/1307453914,3909306691_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10553492/1987896995,1337331759_align.jpg",Yes,1.3815,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10381610/392255640,4279410856_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10381610/3838971919,3678986529_align.jpg",Yes,1.1205,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10218954/1879740769,3932757461_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10218954/1020976682,2188729135_align.jpg",Yes,1.4798,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/215037460,561396675_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/1050085710,3496105930_align.jpg",Yes,1.2265,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276274/4246699477,4037850660_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10276274/3015756281,155857145_align.jpg",Yes,1.2385,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10609267/fd428c45859db273879473c6.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10609267/1083056619,3149111053_align.jpg",Yes,0.4747,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/1001894621,3629191466_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/3576197508,1127846431_align.jpg",Yes,0.8109,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/3725655051,4085778902_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10327300/1941317408,340945109_align.jpg",Yes,1.305,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312705/3b292df5e0fe9925ed4314b734a85edf8cb1718d.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312705/91ef76c6a7efce1bd865b52daf51f3deb58f658e.jpg_align.jpg",Yes,0.9694,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10148536/b999a9014c086e06e9bf21ac02087bf40bd1cbc6.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10148536/1399719415,2667544734_align.jpg",Yes,1.3649,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10618393/687238426,452007664_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10618393/2832909486,1175887222_align.jpg",Yes,1.2674,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365473/1674436842,231768414_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10365473/4282649013,3576255414_align.jpg",Yes,0.9791,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393851/2710089136,1855945028_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393851/4091702779,487332072_align.jpg",Yes,1.0377,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393532/3277096434,187853734_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10393532/1206290401,965501322_align.jpg",Yes,1.0129,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10294013/904194727,2781390684_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10294013/825489265,2505245650_align.jpg",Yes,0.5295,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10560466/3087156030,4021732669_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10560466/9a1151c21b742662e5dd3bcb.jpg_align.jpg",Yes,1.0569,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390391/2360516827,3031234749_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390391/383974068,2366761313_align.jpg",Yes,0.7029,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390391/2215371480,729590918_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10390391/936038174,3640431799_align.jpg",Yes,0.8096,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10397356/d53f8794a4c27d1eb51f64641ad5ad6eddc43850.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10397356/9358d109b3de9c823ea874196c81800a18d84353.jpg_align.jpg",Yes,0.8998,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208177/2516890880,1735835008_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10208177/1728021697,535176081_align.jpg",Yes,0.42,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312705/91ef76c6a7efce1bd865b52daf51f3deb58f658e.jpg_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10312705/614537582,191030417_align.jpg",Yes,1.0423,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/1494727563,201023619_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10388539/37006960,3664041964_align.jpg",Yes,0.7828,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/3849054317,2651620534_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10163134/1345897942,1554147708_align.jpg",Yes,0.7322,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10584775/1116270035,2968361043_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10584775/1299616915,946335914_align.jpg",Yes,0.7026,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/1927622370,2357471250_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/7af40ad162d9f2d37177efacabec8a136327cc0b.jpg_align.jpg",Yes,0.7503,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10533494/1451051384,1761424211_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10533494/2565010894,412872898_align.jpg",Yes,1.3601,1,No
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10249017/2931330707,3769338283_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10249017/97510526,2588226649_align.jpg",Yes,0.5421,1,Yes
"/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/3787806979,3151303220_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/40, 320 + cascade/10572559/3707420036,2533779758_align.jpg",Yes,1.0891,1,No
