file_x,file_y,decision,distance_l2,distance_l2_scaled
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13856/919858109,3408347705_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13856/1086497151,3233517613_align.jpg",Yes,0.7956,-0.7956
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/512296553,2791719665_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/543341793,1768047299_align.jpg",Yes,1.4764,-1.4764
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1223250299,1965387401_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1278128748,2578167883_align.jpg",Yes,1.2457,-1.2457
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2647/4141686080,2852815102_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2647/493183961,862286756_align.jpg",Yes,0.6447,-0.6447
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3308250194,3736521374_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2642140100,1040280771_align.jpg",Yes,0.9452,-0.9452
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/3051846291,3372118359_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/677154077,1902995052_align.jpg",Yes,0.7399,-0.7399
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4156/145247084,234055640_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4156/2346352530,1112380333_align.jpg",Yes,1.2469,-1.2469
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/3640491686,3168394413_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/1010645288,2540722880_align.jpg",Yes,1.4883,-1.4883
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2225901881,1973423983_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/4251612600,2532925298_align.jpg",Yes,1.1244,-1.1244
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/3128814407,3868183562_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/1473731585,1711746819_align.jpg",Yes,1.0798,-1.0798
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12316/1726811760,1938746817_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12316/559408879,4004805691_align.jpg",Yes,1.5609,-1.5609
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2260691058,2182893021_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/154775029,3417403615_align.jpg",Yes,0.6845,-0.6845
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/3797696440,4043943828_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/4031035729,275060856_align.jpg",Yes,0.8737,-0.8737
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2342096106,1373903848_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/209090961,2695687312_align.jpg",Yes,0.5033,-0.5033
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/219139053,1305230558_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2055379320,3417999821_align.jpg",Yes,0.8284,-0.8284
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2041/3540871364,2040902221_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2041/3351543349,714534003_align.jpg",Yes,0.9116,-0.9116
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/231128303,1621662240_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/2293734340,3765775390_align.jpg",Yes,1.6878,-1.6878
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/783991362,3766182621_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/209090961,2695687312_align.jpg",Yes,1.486,-1.486
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3093158985,2706996080_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1013737124,3706775295_align.jpg",Yes,0.7373,-0.7373
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/4210762488,3253594_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/3926336065,2795486815_align.jpg",Yes,1.3759,-1.3759
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/10273/1342844330,1363001830_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/10273/1490569312,2589782820_align.jpg",Yes,1.3722,-1.3722
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/4181416224,2773694948_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/12995564,3261880853_align.jpg",Yes,1.5258,-1.5258
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/3284027956,1401527362_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/3336625223,956952275_align.jpg",Yes,0.8802,-0.8802
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2735/1965071103,343429495_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2735/1109821201,540267400_align.jpg",Yes,1.5748,-1.5748
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13000/3138458256,51664329_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13000/3897608689,2869070275_align.jpg",Yes,1.217,-1.217
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6845/2114797780,1486741221_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6845/3648335384,3925041741_align.jpg",Yes,0.9175,-0.9175
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/2667841968,362634289_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5835/2873018671,1238598578_align.jpg",Yes,1.3226,-1.3226
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7257/396204574,2535271634_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7257/3465822142,793893844_align.jpg",Yes,0.849,-0.849
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1280497489,1697627976_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2220535786,780378853_align.jpg",Yes,1.3104,-1.3104
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1022320339,1795797080_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3009557172,1007500304_align.jpg",Yes,0.7339,-0.7339
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/3120665925,3809742267_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/1932776941,1482560702_align.jpg",Yes,1.2831,-1.2831
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/3062101096,2293693446_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/624065243,1509707904_align.jpg",Yes,1.5392,-1.5392
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/3399/2472097815,2957587023_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/3399/4240269954,694053149_align.jpg",Yes,0.6582,-0.6582
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2041/1610657683,3139902390_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2041/3351543349,714534003_align.jpg",Yes,0.7063,-0.7063
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/18934972,3242718170_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/32102006,150964000_align.jpg",Yes,0.8423,-0.8423
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/1996581153,108157588_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/1930572944,4276706169_align.jpg",Yes,1.3451,-1.3451
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5758/3955347995,60157703_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5758/1351304126,3227859506_align.jpg",Yes,0.6352,-0.6352
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2560445581,2999202113_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3249090030,1483823437_align.jpg",Yes,1.3515,-1.3515
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4822/4272092638,2118501124_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4822/3866867599,2306460809_align.jpg",Yes,1.5834,-1.5834
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/3131948157,79761314_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/3753594360,37224174_align.jpg",Yes,0.8652,-0.8652
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1228627335,748164439_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/762801519,2742538776_align.jpg",Yes,1.4627,-1.4627
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/556567915,1042302243_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/2374507147,369808208_align.jpg",Yes,1.363,-1.363
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12227/1400523968,1251855536_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12227/1217888495,879939807_align.jpg",Yes,1.5721,-1.5721
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6728/1459504871,1018886662_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6728/4200703204,1139991824_align.jpg",Yes,1.1935,-1.1935
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4869/563617405,58547202_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/4869/2716622449,2120265562_align.jpg",Yes,0.8989,-0.8989
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2365861575,892233575_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2697638084,886105774_align.jpg",Yes,0.7714,-0.7714
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/287359970,3834211754_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/1569077698,1360269188_align.jpg",Yes,1.5703,-1.5703
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1075690761,1326585677_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1513797918,2914663305_align.jpg",Yes,1.3514,-1.3514
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14727/1216209297,313441534_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14727/4018318855,811770713_align.jpg",Yes,0.7244,-0.7244
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/3655178173,893413878_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5773/2982431025,1359671911_align.jpg",Yes,1.4088,-1.4088
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7064/1992758880,1018923612_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/7064/2942096982,167628513_align.jpg",Yes,1.0847,-1.0847
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1201908598,4029791285_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1899933343,2546659159_align.jpg",Yes,0.6407,-0.6407
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/3937547198,3205439288_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/1781274496,4294586260_align.jpg",Yes,1.4776,-1.4776
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/3259895501,3507864931_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8522/2400106726,2952386171_align.jpg",Yes,0.7943,-0.7943
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/879560502,2738013849_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3462794939,1686536878_align.jpg",Yes,0.7947,-0.7947
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/1076441660,2917754855_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/2310852841,1154030141_align.jpg",Yes,1.135,-1.135
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/3787709036,4288750899_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/687993105,444125479_align.jpg",Yes,0.8146,-0.8146
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2058165757,2392531092_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3272627908,497247997_align.jpg",Yes,1.5673,-1.5673
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/828535370,4292621850_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/4284157810,3260849671_align.jpg",Yes,0.4147,-0.4147
/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5102/5ab5c9ea15ce36d36d9816fc3bf33a87e850b15a.jpg_align.jpg,/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5102/48540923dd54564e37582d28b1de9c82d1584fe6.jpg_align.jpg,Yes,1.0884,-1.0884
/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/a1ec08fa513d26970df1e0e954fbb2fb4316d860.jpg_align.jpg,/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/503d269759ee3d6d8709edf740166d224f4ade3b.jpg_align.jpg,Yes,0.9278,-0.9278
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/2860648830,249950535_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6724/1378878527,2041169832_align.jpg",Yes,1.498,-1.498
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12942/4228371570,3253515061_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12942/1921427447,826796202_align.jpg",Yes,0.5028,-0.5028
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2996977972,625184028_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2675010932,1716040946_align.jpg",Yes,0.833,-0.833
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5235/1655927696,3695189197_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5235/2751688647,73776201_align.jpg",Yes,0.5152,-0.5152
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/640879286,3644133419_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3653981316,212870790_align.jpg",Yes,1.4519,-1.4519
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6712/426777459,1055844236_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6712/2878081410,4269210458_align.jpg",Yes,0.6603,-0.6603
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/903620924,2006679447_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/4288152300,3183554767_align.jpg",Yes,0.6982,-0.6982
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12240/1300495991,3785063291_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/12240/3718698416,2137844465_align.jpg",Yes,0.6912,-0.6912
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/4198803250,2026401963_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/3059442998,211309609_align.jpg",Yes,1.3837,-1.3837
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/15741/3182355827,3156492305_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/15741/2560176440,1320381267_align.jpg",Yes,1.5769,-1.5769
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3308250194,3736521374_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/541709747,3085995236_align.jpg",Yes,0.9596,-0.9596
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13159/1793372182,997004713_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13159/3041026982,1089322670_align.jpg",Yes,1.3699,-1.3699
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/2230075559,3965935508_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3741792443,2365374906_align.jpg",Yes,1.1503,-1.1503
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/3937547198,3205439288_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/757234774,1174013542_align.jpg",Yes,1.0225,-1.0225
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/2466383949,2452816096_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5454/487631364,2177110378_align.jpg",Yes,0.3714,-0.3714
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/4247558567,1464806129_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9319/2409631898,1580784581_align.jpg",Yes,1.3651,-1.3651
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/516763590,1889530905_align.jpg",/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6884/c995d143ad4bd113ff8adc0e59afa40f4bfb0542.jpg_align.jpg,Yes,0.957,-0.957
/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2772/5327ce16531cc427972b43dc.jpg_align.jpg,"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/2772/2221283766,3190604877_align.jpg",Yes,1.397,-1.397
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/3448895489,3813554907_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/5341/1357855051,814376587_align.jpg",Yes,0.5789,-0.5789
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13856/3182252273,2224753976_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/13856/611979849,3000977466_align.jpg",Yes,0.5812,-0.5812
/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11621/eaf81a4c510fd9f9bbf382a8252dd42a2934a40f.jpg_align.jpg,/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11621/faedab64034f78f0e3464d3279310a55b2191ca5.jpg_align.jpg,Yes,1.4762,-1.4762
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1217540837,529944705_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1201423626,2777407259_align.jpg",Yes,0.8575,-0.8575
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11079/1900614006,2594896016_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/11079/401734631,145536014_align.jpg",Yes,1.0126,-1.0126
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/984/642126081,73856954_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/984/3341364480,1212506068_align.jpg",Yes,1.6068,-1.6068
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/1775065823,281303975_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8529/3789267885,3902337179_align.jpg",Yes,1.1355,-1.1355
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/504856538,2940160109_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/8594/797474080,138889056_align.jpg",Yes,1.6121,-1.6121
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/2960367758,246558253_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/14903/4279514013,3162807120_align.jpg",Yes,0.814,-0.814
/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/95afee1fe4a48eb8e1fe0b78.jpg_align.jpg,"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/6730/1614041650,2425928683_align.jpg",Yes,1.1263,-1.1263
"/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/2342096106,1373903848_align.jpg","/content/drive/My Drive/기업프로젝트-라젠/data/face train data/9664/1893177422,2552916842_align.jpg",Yes,0.6344,-0.6344
